symbol,date,buy_time,sell_time,profit,buy_RSI,sell_RSI,buy_MACD,sell_MACD,buy_ATR,sell_ATR
NAC,2025-02-11,10:05:00,15:40:00,0.05000019073486328,10.785420438751295,71.25738447734277,-0.007973401678894376,0.009160318256357769,0.006680187150686043,0.0054895859472971565
NAC,2025-02-12,11:20:00,12:25:00,0.06999969482421875,21.604636716079558,68.19700711906059,-0.01739302483423799,0.0028609966887405136,0.008368284998140423,0.012084942723936466
NAC,2025-02-13,10:00:00,12:20:00,0.034999847412109375,42.90191680759706,67.56737352048864,-0.0013480997702099984,0.0027853654513361192,0.009987542285750797,0.008118236021621402
NAC,2025-02-14,09:30:00,14:15:00,0.03750038146972656,23.323651951309696,60.90453604455087,-0.005915085448936708,0.0009835361486505434,0.008277012695084124,0.005594505984629699
NAC,2025-02-18,10:15:00,15:55:00,0.030399322509765625,39.619482552485415,67.76495758566557,-0.002880458924384044,0.002519706840729441,0.006566223663147699,0.005981049949535616
NAC,2025-02-19,10:20:00,14:20:00,0.07000064849853516,54.32653808190538,73.68155090521105,0.007484448813393385,0.013038828620880238,0.008111615833024747,0.007844988074328865
NAC,2025-02-20,10:10:00,15:25:00,0.03700065612792969,38.381378886956064,63.402009670259396,-0.00495028414049159,0.0037184679140764842,0.012317727817670068,0.006674544995143372
NAC,2025-02-21,09:35:00,13:30:00,0.029999732971191406,31.114019689170892,60.56669146333543,-0.00671185864169388,0.0020676712439424705,0.01457675686182163,0.006311843132982999
NAC,2025-02-24,14:35:00,15:55:00,0.05000019073486328,27.71013409867103,66.36125564470426,-0.0072118944401822205,0.0016401426065772995,0.007596242745088584,0.011979844880252496
NAC,2025-02-25,09:30:00,13:50:00,0.05199909210205078,77.77741982331095,69.78675658015455,0.007669701520750749,0.009853620721525402,0.014695583869867551,0.007806474888059302
NAC,2025-02-26,09:50:00,14:10:00,0.049999237060546875,40.52479315775093,65.86394362114434,-0.002456495390417146,0.007930257613088187,0.01142813062981339,0.005706093768560378
NAC,2025-02-27,11:10:00,14:35:00,0.029000282287597656,33.5696204128019,63.16311043470962,-0.004779322035096456,0.0022376117815348096,0.008055867623601777,0.005729284726958154
NAC,2025-02-28,09:45:00,15:55:00,0.15000057220458984,40.21717157901251,84.61210711061665,-0.0012463123575141566,0.012858073439021567,0.008870478868686273,0.009265447686125739
NAC,2025-03-03,12:25:00,15:35:00,0.039999961853027344,31.447775739277482,65.09057134916229,-0.003969302950347142,0.004156820949683393,0.007355510762330443,0.0077243179224523685
NAC,2025-03-04,14:40:00,15:40:00,0.04500007629394531,27.2904843814681,57.984142222490185,-0.008956223720643308,-0.0019633936870722124,0.00962462513935616,0.007562572474642096
NAC,2025-03-05,11:50:00,15:20:00,0.10990047454833984,35.27379531908131,67.30189536049166,-0.007550104598179175,0.014763927363798501,0.00782014450241384,0.009479674153223783
NAC,2025-03-06,10:25:00,11:05:00,0.039999961853027344,26.338322434949845,50.38090293387706,-0.017698916539906406,-0.01248382728981845,0.011623637169550314,0.011677669956526129
NAC,2025-03-07,15:40:00,15:50:00,0.024999618530273438,29.341554910231554,52.16899335428546,-0.00473287869392891,-0.003948161690994212,0.008094021234541667,0.008713693975405785
PLAB,2025-02-11,09:30:00,09:40:00,0.25499916076660156,28.209956888819416,59.39989662637476,-0.012091058036034497,0.0017966070944090973,0.057236648409098194,0.06889789404837421
PLAB,2025-02-12,10:00:00,15:00:00,0.1900005340576172,26.75680552567688,66.97545562113285,-0.10715738652817919,0.017959221089480337,0.06986411026505383,0.03091352159164134
PLAB,2025-02-13,09:35:00,15:55:00,0.31999969482421875,38.85888319365234,63.11306127585343,-0.0222076299276317,0.03588051692733529,0.059550074698778696,0.040891251237802476
PLAB,2025-02-14,09:30:00,09:45:00,0.15999984741210938,59.18987481479223,73.91895334050386,0.03489345281111511,0.055678133926917894,0.04154195789290085,0.05614089284165453
PLAB,2025-02-18,09:45:00,13:05:00,0.3449993133544922,35.24465636418901,65.05871823343794,-0.02085908763368849,0.032437310274815445,0.05604030679917588,0.028001838466092284
PLAB,2025-02-19,09:55:00,14:20:00,0.4399986267089844,47.208214729746125,68.83689446201849,0.012442206198365113,0.052604755067267917,0.04771885853520376,0.037180776522805416
PLAB,2025-02-20,11:50:00,14:20:00,0.3150005340576172,34.140097607360346,72.02591608992832,-0.06472061136125262,0.02724452164835256,0.04235908873991001,0.033940634331511184
PLAB,2025-02-21,15:00:00,15:30:00,0.18919944763183594,14.742760304450329,52.407687144567795,-0.12966741283537786,-0.07771708242062303,0.03691558416070617,0.03897457718840631
PLAB,2025-02-24,10:55:00,13:00:00,0.4099998474121094,33.678988030673,59.47480060679139,-0.07324952574151666,0.040439732851520915,0.07522941086346505,0.0470203255201348
PLAB,2025-02-25,10:25:00,10:50:00,0.21500015258789062,7.255488233375118,33.82732010717054,-0.2399059226682354,-0.204915573202598,0.0885611465588344,0.08575481511196638
PLAB,2025-02-26,10:00:00,12:05:00,0.8100013732910156,52.72188375895547,71.56658928220571,0.15999649540760075,0.1701625904972559,0.19419513081575981,0.10077575239598728
PLAB,2025-02-27,11:55:00,14:05:00,0.48999977111816406,32.154608877387474,70.81584410730241,-0.11206959019570917,0.07027582686038514,0.06505720898483337,0.05940767510135049
PLAB,2025-02-28,09:30:00,10:25:00,0.7399997711181641,20.807743379208873,65.01577001173044,-0.09528075706469963,0.05725638662364929,0.08764920891487457,0.1046012519376341
PLAB,2025-03-03,09:35:00,10:25:00,0.375,55.14235520547335,70.70732135911463,0.04666361315910095,0.09779859219147369,0.08912109551281724,0.095276731111981
