buytime,selltime,ticker,buy_price,sell_price,profit_per_share
2025-02-07 08:05:00-08:00,2025-02-10 07:50:00-08:00,GOOG,188.05999755859375,189.08999633789062,1.029998779296875
2025-02-11 06:30:00-08:00,2025-02-11 12:40:00-08:00,GOOG,188.4530029296875,187.07000732421875,-1.38299560546875
2025-02-12 06:40:00-08:00,2025-02-13 08:15:00-08:00,GOOG,186.0800018310547,186.13999938964844,0.05999755859375
2025-02-14 06:30:00-08:00,2025-02-14 06:40:00-08:00,GOOG,187.5500030517578,186.88999938964844,-0.660003662109375
2025-02-18 06:30:00-08:00,2025-02-19 07:30:00-08:00,GOOG,187.00999450683594,185.97999572753906,-1.029998779296875
2025-02-20 06:30:00-08:00,2025-02-20 11:35:00-08:00,GOOG,186.1699981689453,186.110595703125,-0.0594024658203125
2025-02-21 06:30:00-08:00,2025-02-21 06:55:00-08:00,GOOG,186.7449951171875,186.33999633789062,-0.404998779296875
2025-02-24 06:30:00-08:00,2025-02-25 11:10:00-08:00,GOOG,184.47999572753906,178.69000244140625,-5.7899932861328125
2025-02-26 06:50:00-08:00,2025-03-03 07:00:00-08:00,GOOG,176.8699951171875,171.74000549316406,-5.1299896240234375
2025-03-04 06:30:00-08:00,2025-03-04 09:50:00-08:00,GOOG,168.83999633789062,172.3699951171875,3.529998779296875
2025-03-05 06:30:00-08:00,2025-03-05 10:40:00-08:00,GOOG,172.7899932861328,173.89999389648438,1.1100006103515625
2025-03-06 06:30:00-08:00,2025-03-06 06:30:00-08:00,GOOG,173.9499969482422,173.9499969482422,0.0
2025-03-07 06:30:00-08:00,2025-03-07 07:25:00-08:00,GOOG,174.21859741210938,174.02000427246094,-0.1985931396484375
2025-02-07 07:35:00-08:00,2025-02-10 07:45:00-08:00,NVDA,129.5399932861328,134.54409790039062,5.0041046142578125
2025-02-11 06:35:00-08:00,2025-02-11 12:20:00-08:00,NVDA,133.9949951171875,133.3253936767578,-0.6696014404296875
2025-02-12 06:40:00-08:00,2025-02-13 08:10:00-08:00,NVDA,131.91000366210938,135.51840209960938,3.6083984375
2025-02-14 06:30:00-08:00,2025-02-14 08:00:00-08:00,NVDA,137.17999267578125,137.55999755859375,0.3800048828125
2025-02-18 06:30:00-08:00,2025-02-18 07:15:00-08:00,NVDA,143.02000427246094,140.92999267578125,-2.0900115966796875
2025-02-19 06:30:00-08:00,2025-02-19 08:45:00-08:00,NVDA,139.42010498046875,139.52999877929688,0.109893798828125
2025-02-20 06:30:00-08:00,2025-02-20 09:55:00-08:00,NVDA,139.9199981689453,139.17840576171875,-0.7415924072265625
2025-02-21 06:30:00-08:00,2025-02-21 06:30:00-08:00,NVDA,140.0850067138672,140.0850067138672,0.0
