Symbol,Date,Buy Price,Sell Price,Profit,Profit (%)
MTVA,2025-02-03,1.7400000095367432,1.7400000095367432,0.0,0.0
MTVA,2025-02-20,1.659999966621399,1.6299999952316284,-0.029999971389770508,-1.8072272284938358
CHI,2025-02-04,11.34000015258789,11.380000114440918,0.039999961853027344,0.35273334492768055
CHI,2025-02-05,11.441100120544434,11.430000305175781,-0.011099815368652344,-0.09701702853487616
CHI,2025-02-10,11.329999923706055,11.319999694824219,-0.010000228881835938,-0.08826327404391414
CHI,2025-02-11,11.339799880981445,11.270999908447266,-0.06879997253417969,-0.606712404595143
CHI,2025-02-13,11.247599601745605,11.279999732971191,0.03240013122558594,0.28806263000825083
CHI,2025-02-14,11.289999961853027,11.260000228881836,-0.029999732971191406,-0.2657195134858756
CHI,2025-02-18,11.218899726867676,11.234999656677246,0.016099929809570312,0.14350720838526848
CHI,2025-02-25,10.699999809265137,10.5600004196167,-0.1399993896484375,-1.30840553405629
CHI,2025-02-27,10.390000343322754,10.34000015258789,-0.05000019073486328,-0.481233773654266
CHI,2025-02-28,10.34000015258789,10.319999694824219,-0.020000457763671875,-0.193428021939305
HWM^,,,,,
PMCB,2025-02-20,1.7201000452041626,1.809999942779541,0.08989989757537842,5.226434231312864
MFIC,2025-02-03,13.795000076293945,13.984999656677246,0.18999958038330078,1.3773075703696882
MFIC,2025-02-05,13.854999542236328,14.010000228881836,0.1550006866455078,1.1187346933718427
MFIC,2025-02-06,14.03499984741211,14.0600004196167,0.025000572204589844,0.1781301922080153
MFIC,2025-02-07,14.079299926757812,14.0600004196167,-0.01929950714111328,-0.13707717884775242
MFIC,2025-02-10,14.039999961853027,14.114999771118164,0.07499980926513672,0.5341866771290082
MFIC,2025-02-11,14.125,14.210000038146973,0.08500003814697266,0.6017701815714878
MFIC,2025-02-12,14.229900360107422,14.329999923706055,0.10009956359863281,0.7034452881993136
MFIC,2025-02-13,14.349800109863281,14.444999694824219,0.0951995849609375,0.6634209830944086
MFIC,2025-02-14,14.494999885559082,14.484999656677246,-0.010000228881835938,-0.06899088624208169
MFIC,2025-02-18,14.529899597167969,14.625,0.09510040283203125,0.6545152097992978
MFIC,2025-02-19,14.600000381469727,14.720000267028809,0.11999988555908203,0.8219170029021746
MFIC,2025-02-20,14.619999885559082,14.699999809265137,0.07999992370605469,0.5471951048718864
MFIC,2025-02-21,14.720000267028809,14.604999542236328,-0.11500072479248047,-0.7812549096895706
MFAO,2025-02-03,25.100000381469727,25.15999984741211,0.05999946594238281,0.2390416933486499
MFAO,2025-02-06,25.08989906311035,25.11989974975586,0.030000686645507812,0.11957276739155076
MFAO,2025-02-10,25.099899291992188,25.1299991607666,0.030099868774414062,0.11992027706667753
MFAO,2025-02-19,25.099899291992188,25.079999923706055,-0.019899368286132812,-0.07928066983313141
MFAO,2025-02-21,25.132400512695312,25.132400512695312,0.0,0.0
MFAO,2025-02-24,25.139999389648438,25.17020034790039,0.030200958251953125,0.12013110177078433
MFAO,2025-02-25,25.15999984741211,25.15999984741211,0.0,0.0
MFAO,2025-02-27,25.139999389648438,25.149999618530273,0.010000228881835938,0.039778158809158914
IPAR,2025-02-05,137.83999633789062,138.86000061035156,1.0200042724609375,0.7399915115788132
IPAR,2025-02-06,139.5850067138672,138.7100067138672,-0.875,-0.6268581566168112
IPAR,2025-02-07,136.43389892578125,135.75999450683594,-0.6739044189453125,-0.4939420659024852
IPAR,2025-02-13,138.1300048828125,139.8699951171875,1.739990234375,1.259675792997461
IPAR,2025-02-20,134.3800048828125,134.72999572753906,0.3499908447265625,0.26044860247756035
IPAR,2025-02-25,137.60000610351562,139.0,1.399993896484375,1.0174373796402074
DMAC,2025-02-03,5.920000076293945,5.920000076293945,0.0,0.0
DMAC,2025-02-04,6.01800012588501,6.03000020980835,0.012000083923339844,0.19940318498373422
DMAC,2025-02-07,6.25,6.235000133514404,-0.014999866485595703,-0.23999786376953125
DMAC,2025-02-11,6.284999847412109,6.300000190734863,0.015000343322753906,0.2386689528549535
DMAC,2025-02-13,6.170000076293945,6.239999771118164,0.06999969482421875,1.1345169199133067
DMAC,2025-02-14,6.300000190734863,6.300000190734863,0.0,0.0
DMAC,2025-02-26,6.150000095367432,6.260000228881836,0.1100001335144043,1.7886200294088341
ALL^I,,,,,
GCMGW,2025-02-10,2.5999999046325684,2.640000104904175,0.040000200271606445,1.53846929764635
GCMGW,2025-02-18,2.5199999809265137,2.5999999046325684,0.07999992370605469,3.174600171093715
GCMGW,2025-02-19,2.740000009536743,2.8499999046325684,0.1099998950958252,4.014594697553417
FIGS,2025-02-04,5.545000076293945,5.525000095367432,-0.019999980926513672,-0.36068495313494847
FIGS,2025-02-05,5.545000076293945,5.545000076293945,0.0,0.0
FIGS,2025-02-06,5.614999771118164,5.460000038146973,-0.1549997329711914,-2.760458402304172
FIGS,2025-02-11,5.164999961853027,5.139999866485596,-0.02500009536743164,-0.4840289555096618
FIGS,2025-02-12,5.09499979019165,5.199999809265137,0.10500001907348633,2.0608444238922474
FIGS,2025-02-13,5.230000019073486,5.394999980926514,0.16499996185302734,3.1548749761239523
FIGS,2025-02-19,5.260000228881836,5.400000095367432,0.1399998664855957,2.6615943040625436
FIGS,2025-02-21,5.304999828338623,5.485000133514404,0.18000030517578125,3.393031310090585
FIGS,2025-02-25,5.28000020980835,5.519999980926514,0.23999977111816406,4.545450029951333
FIGS,2025-02-26,5.614999771118164,5.704999923706055,0.09000015258789062,1.6028522930815383
FIGS,2025-02-27,5.579999923706055,5.599999904632568,0.019999980926513672,0.3584226021499716
