Symbol,Buy Time,Buy Price,Sell Time,Sell Price,Profit per Share,ROC (%)
BA^A,,,,,,
MTC,,,,,,
RGCO,,,,,,
FMBH,,,,,,
DSU,2025-02-28 17:19:00,10.630000114440918,2025-02-28 20:16:00,10.6850004196167,0.05500030517578125,0.5174064401096573
RILYL,,,,,,
SKWD,,,,,,
ABAT,,,,,,
AGL,2025-02-28 14:52:00,3.174999952316284,2025-02-28 18:37:00,3.115000009536743,-0.059999942779541016,-1.8897620056897564
TENB,2025-02-28 17:42:00,37.654998779296875,2025-02-28 21:00:00,38.14,0.48500122070312557,1.2880128440471084
ENX,,,,,,
BMI,,,,,,
SPKLW,,,,,,
DHC,2025-02-28 18:03:00,2.7950000762939453,2025-02-28 21:00:00,2.84,0.044999923706054545,1.610015115481592
SBT,,,,,,
DYNX,,,,,,
AMPL,2025-02-28 18:01:00,12.319999694824219,2025-02-28 19:50:00,12.460000038146973,0.1400003433227539,1.1363664512229634
NAT,2025-02-28 15:43:00,2.434999942779541,2025-02-28 21:00:00,2.45,0.015000057220459162,0.6160187914968354
BLDEW,,,,,,
GOVX,,,,,,
LAZR,,,,,,
TKNO,,,,,,
PFL,,,,,,
